<DTYYYYMMDD>,<Close>,<Vol>
20210929,1436984.25,5000518771
20211002,1473476.04,5994461140
20211003,1476680.34,7055630221
20211004,1484652.8,4975824181
20211006,1488264.53,5140158940
20211009,1466031.42,5095216047
20211010,1455612.0,4185293066
20211011,1457493.63,3788688478
20211012,1418683.01,5118731445
20211013,1397386.13,4886080618
20211016,1437465.49,4392107216
20211017,1436109.93,4930419154
20211018,1436916.77,4798539230
20211019,1449496.94,4510391243
20211020,1436357.1,3710878361
20211023,1407757.99,4435812722
20211025,1384133.53,4511599216
20211026,1384452.16,4136016684
20211027,1393960.75,3751370164
20211030,1375669.16,4569374233
20211031,1340290.83,5262862323
20211101,1361414.79,3605362716
20211102,1376091.88,3557859988
20211103,1398416.46,4379613288
20211106,1440651.49,3432246848
20211107,1430892.18,10343729241
20211108,1434378.87,8279979789
20211109,1447674.77,7391292653
20211110,1456479.93,5140830227
20211113,1439244.35,4284024773
20211114,1442515.73,5007389134
20211115,1416298.72,4470305876
20211116,1408595.65,3417682862
20211117,1410778.55,3965728673
20211120,1383491.85,4180078461
20211121,1386935.29,4557787721
20211122,1407132.92,4692745831
20211123,1404551.66,3461638431
20211124,1394105.72,3957085453
20211127,1366713.91,3697869525
20211128,1368005.19,3179889290
20211129,1363939.01,2695389389
20211130,1357128.91,3258521386
20211201,1340071.91,3366264597
20211204,1334765.92,3223998062
20211205,1343202.66,2778352452
20211206,1342353.56,2755443049
20211207,1338016.01,2343601361
20211208,1349389.26,4037895607
20211211,1344441.58,4801350997
20211212,1320776.73,3811331709
20211213,1295550.11,4333878064
20211214,1291839.41,3951692553
20211215,1293237.91,3667776872
20211218,1305535.47,3997654564
20211219,1291675.77,3514779588
20211220,1301542.25,3795874634
20211221,1318359.67,3377664553
20211222,1359024.49,4385161936
20211225,1385504.62,5998858611
20211226,1383987.9,4587444486
20211227,1400314.63,5415616618
20211228,1399910.85,4498907423
20211229,1397311.44,5378466727
20220101,1378777.36,3940751710
20220102,1379041.05,2964382580
20220103,1376049.34,2981327219
20220104,1362828.62,3298636722
20220105,1363095.81,2724471905
20220108,1362458.01,5180052768
20220109,1336820.72,4201865742
20220110,1332755.64,4465580312
20220111,1334703.54,3973443239
20220112,1334265.0,3356052965
20220115,1322569.8,3774945135
20220116,1310804.45,3208295790
20220117,1306472.13,3746843575
20220118,1275966.43,4504674260
20220119,1279393.9,3436299699
20220122,1281801.02,3521012062
20220123,1256512.82,4622360998
20220124,1234707.73,3361522069
20220125,1207926.66,5442842578
20220126,1229368.42,4489233096
20220129,1258995.09,3360744518
20220130,1284647.38,4845764628
20220131,1294619.06,5534972786
20220201,1301234.01,6739483619
20220202,1301195.67,5578873906
20220205,1304411.12,4554466859
20220206,1282049.95,5468330997
20220207,1274467.48,4522006028
20220208,1281075.43,4433649689
20220209,1284160.06,4587036413
20220212,1284061.71,4879553227
20220213,1275996.17,3676757619
20220214,1283324.21,3240409303
20220216,1282411.42,2952216315
20220219,1282190.78,4405539846
20220220,1274304.74,3727731326
20220221,1281589.37,6044409551
20220222,1284876.11,4422020825
20220223,1288310.34,4058576221
20220226,1282870.84,4386324762
20220227,1279292.68,2870301032
