date,time,opne,high,low,close,vol,maturity
12/20/2021,90600,511926,511926,511926,511926,23007,20241111
12/20/2021,100600,511926,511928,510223,511596,10938,20241111
12/20/2021,110400,510590,510618,510590,510607,3019,20241111
12/20/2021,120000,511000,511000,508068,510020,92894,20241111
12/20/2021,130200,510020,510500,509001,509001,21973,20241111
12/20/2021,144400,510500,511200,510500,511200,21695,20241111
12/21/2021,90000,512249,512980,512100,512100,46102,20241111
12/21/2021,101400,512100,512350,510320,512000,81372,20241111
12/21/2021,112000,511987,511990,510605,511755,64844,20241111
12/21/2021,120600,511101,511899,511100,511800,92712,20241111
12/21/2021,130000,511800,512000,511800,512000,29903,20241111
12/22/2021,90000,513000,514000,512480,512500,65651,20241111
12/22/2021,100400,512510,512530,512510,512530,3426,20241111
12/22/2021,111100,513490,514390,512530,513000,49731,20241111
12/22/2021,120000,514000,514000,513000,513990,12200,20241111
12/22/2021,134700,514000,514000,514000,514000,1,20241111
12/22/2021,144300,513990,515690,513990,515680,50400,20241111
12/25/2021,90000,515650,515650,514000,514500,115418,20241111
12/25/2021,100000,514990,515980,514700,515960,54375,20241111
12/25/2021,110400,515000,515970,514660,515000,118275,20241111
12/25/2021,120500,515000,515000,514580,515000,72097,20241111
12/25/2021,130200,515100,515200,515000,515000,9252,20241111
12/25/2021,142500,515190,515400,515190,515400,7291,20241111
12/26/2021,90000,515990,515990,513990,514000,31214,20241111
12/26/2021,100000,514030,514050,513050,514030,34789,20241111
12/26/2021,110200,514050,514500,514040,514040,62196,20241111
12/26/2021,120000,514050,514770,512520,514770,55038,20241111
12/26/2021,130800,514780,515000,514780,515000,27589,20241111
12/26/2021,141200,515010,515210,515010,515200,40400,20241111
12/27/2021,92700,514000,514500,513210,514500,124328,20241111
12/27/2021,100800,514000,515000,514000,515000,184705,20241111
12/27/2021,111200,514190,514940,514140,514140,27803,20241111
12/27/2021,121300,514200,514800,514200,514230,13767,20241111
12/27/2021,130500,514800,514800,514680,514680,10797,20241111
12/27/2021,140900,514410,514410,514310,514310,1000,20241111
12/28/2021,90000,514210,516000,514200,514900,98013,20241111
12/28/2021,101200,514760,516000,514760,516000,109989,20241111
12/28/2021,110700,516390,516400,514880,515870,43944,20241111
12/28/2021,120500,515880,516400,515870,515900,23358,20241111
