time,open,high,low,close,volume,maturity,YTM,price change
09/25/2021,520903.0,522000.0,518344.0,520000.0,303023,20241014,28.461,
09/26/2021,524320.0,524320.0,515563.0,520000.0,382084,20241014,28.461,0.0
09/28/2021,529998.0,524000.0,520000.0,521000.0,573931,20241014,28.366,0.0019
09/29/2021,523944.0,523989.0,520555.0,523979.0,250745,20241014,28.086,0.0057
10/02/2021,524000.0,529499.0,522510.0,524000.0,280269,20241014,28.084,0.0
10/03/2021,525157.0,526900.0,524003.0,525870.0,149953,20241014,27.91,0.0036
10/04/2021,525950.0,527567.0,525462.0,527567.0,126482,20241014,27.752,0.0032
10/06/2021,526000.0,530863.0,526000.0,530863.0,44908,20241014,27.448,0.0062
10/09/2021,526056.0,530990.0,524035.0,527398.0,444558,20241014,27.768,-0.0065
10/10/2021,527500.0,529000.0,526224.0,528700.0,594680,20241014,27.647,0.0025
10/11/2021,529501.0,530429.0,527999.0,530000.0,532455,20241014,27.527,0.0025
10/12/2021,529952.0,530449.0,528500.0,529900.0,574856,20241014,27.536,-0.0002
10/13/2021,527800.0,529444.0,525000.0,525995.0,197197,20241014,27.898,-0.0074
10/16/2021,525995.0,526897.0,520000.0,524000.0,311009,20241014,28.084,-0.0038
10/17/2021,524344.0,524344.0,521002.0,522150.0,407250,20241014,28.258,-0.0035
10/18/2021,523999.0,523999.0,515001.0,521799.0,271652,20241014,28.291,-0.0007
10/19/2021,520719.0,524899.0,517446.0,519997.0,195023,20241014,28.461,-0.0035
10/20/2021,519500.0,522797.0,519300.0,522797.0,309633,20241014,28.197,0.0054
10/23/2021,524140.0,524497.0,519401.0,524484.0,432082,20241014,28.039,0.0032
10/25/2021,521878.0,527797.0,521805.0,527699.0,447686,20241014,27.74,0.0061
10/26/2021,526335.0,529490.0,525001.0,528101.0,532559,20241014,27.703,0.0008
10/27/2021,529990.0,529990.0,526600.0,529990.0,367727,20241014,27.528,0.0036
10/30/2021,532990.0,532990.0,529000.0,530002.0,241156,20241014,27.527,0.0
10/31/2021,529970.0,535879.0,529457.0,533000.0,598361,20241014,27.252,0.0057
11/01/2021,533000.0,533000.0,528001.0,532400.0,856591,20241014,27.307,-0.0011
11/02/2021,533000.0,533999.0,528000.0,533000.0,640115,20241014,27.252,0.0011
11/03/2021,533500.0,533500.0,525604.0,532000.0,150731,20241014,27.343,-0.0019
11/06/2021,536999.0,536999.0,530003.0,533648.0,215150,20241014,27.193,0.0031
11/07/2021,534000.0,534000.0,527001.0,530000.0,472311,20241014,27.527,-0.0068
11/08/2021,531000.0,533990.0,528000.0,529342.0,331339,20241014,27.588,-0.0012
11/09/2021,533969.0,533969.0,531100.0,533000.0,141686,20241014,27.252,0.0069
11/10/2021,533980.0,533980.0,531111.0,533700.0,309508,20241014,27.188,0.0013
11/13/2021,533700.0,533700.0,530500.0,532500.0,417558,20241014,27.298,-0.0022
11/14/2021,531000.0,532500.0,527003.0,529998.0,421887,20241014,27.527,-0.0047
11/15/2021,531990.0,532000.0,530000.0,531960.0,597002,20241014,27.347,0.0037
11/16/2021,533896.0,533896.0,530724.0,531200.0,180816,20241014,27.417,-0.0014
11/17/2021,532000.0,532000.0,525406.0,528000.0,220774,20241014,27.712,-0.006
11/20/2021,532000.0,532000.0,525002.0,527999.0,518496,20241014,27.712,-0.0
11/21/2021,527950.0,527950.0,525002.0,526002.0,309255,20241014,27.898,-0.0038
11/22/2021,529980.0,529980.0,520001.0,526500.0,484282,20241014,27.851,0.0009
11/23/2021,527000.0,527000.0,520001.0,522000.0,158993,20241014,28.272,-0.0085
11/24/2021,523000.0,523300.0,516623.0,523000.0,137443,20241014,28.178,0.0019
11/27/2021,524980.0,524980.0,515000.0,520990.0,156996,20241014,28.367,-0.0038
11/28/2021,523800.0,523800.0,515136.0,519996.0,110975,20241014,28.461,-0.0019
11/29/2021,523880.0,523880.0,514990.0,518500.0,541270,20241014,28.603,-0.0029
11/30/2021,519797.0,519797.0,512502.0,519500.0,621679,20241014,28.508,0.0019
12/01/2021,519436.0,520000.0,515509.0,520000.0,534207,20241014,28.461,0.001
12/04/2021,522490.0,522490.0,519505.0,520000.0,449961,20241014,28.461,0.0
12/05/2021,515006.0,521999.0,515006.0,521500.0,457282,20241014,28.319,0.0029
12/06/2021,523000.0,528999.0,519555.0,520555.0,319366,20241014,28.408,-0.0018
12/07/2021,518302.0,523880.0,518302.0,521799.0,138562,20241014,28.291,0.0024
12/08/2021,523980.0,523980.0,520012.0,522500.0,179769,20241014,28.225,0.0013
12/11/2021,511436.0,523888.0,511436.0,521990.0,370132,20241014,28.273,-0.001
12/12/2021,521001.0,522400.0,519505.0,521553.0,562384,20241014,28.314,-0.0008
12/13/2021,523800.0,523800.0,520000.0,521500.0,380621,20241014,28.319,-0.0001
12/14/2021,521800.0,523998.0,521445.0,522300.0,374396,20241014,28.244,0.0015
12/15/2021,523995.0,523995.0,521307.0,522989.0,241318,20241014,28.179,0.0013
12/18/2021,523717.0,523717.0,519001.0,521000.0,727116,20241014,28.366,-0.0038
12/19/2021,523000.0,523000.0,520155.0,521800.0,432948,20241014,28.291,0.0015
12/20/2021,521100.0,522000.0,521100.0,521510.0,294275,20241014,28.318,-0.0006
12/21/2021,523000.0,523000.0,520503.0,521200.0,361298,20241014,28.348,-0.0006
12/22/2021,522000.0,524910.0,520610.0,524910.0,179973,20241014,27.999,0.0071
12/25/2021,524980.0,525830.0,523030.0,524510.0,202003,20241014,28.037,-0.0008
12/26/2021,525880.0,525880.0,521000.0,524000.0,723213,20241014,28.084,-0.001
12/27/2021,523690.0,524000.0,521960.0,523000.0,571149,20241014,28.178,-0.0019
12/28/2021,523000.0,526870.0,522990.0,526870.0,478356,20241014,27.817,0.0074
12/29/2021,527000.0,528780.0,525000.0,528660.0,179577,20241014,27.651,0.0034
01/01/2022,528990.0,530980.0,525260.0,530970.0,247247,20241014,27.438,0.0044
01/02/2022,530000.0,531790.0,530000.0,531040.0,540566,20241014,27.431,0.0001
01/03/2022,527250.0,536990.0,527120.0,535270.0,518740,20241014,27.045,0.008
01/04/2022,536870.0,537970.0,533510.0,536000.0,246456,20241014,26.978,0.0014
01/05/2022,536500.0,541800.0,536110.0,540710.0,193261,20241014,26.554,0.0088
01/08/2022,545970.0,545970.0,540010.0,542660.0,244121,20241014,26.379,0.0036
01/09/2022,544100.0,544100.0,542500.0,544100.0,196538,20241014,26.251,0.0027
01/10/2022,542500.0,545000.0,541960.0,545000.0,651429,20241014,26.171,0.0017
01/11/2022,543160.0,546200.0,542160.0,545970.0,497501,20241014,26.085,0.0018
01/12/2022,543860.0,545880.0,540010.0,545880.0,218118,20241014,26.093,-0.0002
01/15/2022,546990.0,547800.0,541050.0,547700.0,357779,20241014,25.933,0.0033
01/16/2022,548990.0,558750.0,547010.0,549740.0,135047,20241014,25.753,0.0037
01/17/2022,549030.0,551700.0,549030.0,550000.0,278464,20241014,25.731,0.0005
01/18/2022,550800.0,551950.0,549230.0,550950.0,508974,20241014,25.648,0.0017
01/19/2022,550000.0,551000.0,549200.0,551000.0,303118,20241014,25.643,0.0001
01/22/2022,547100.0,552800.0,547100.0,551400.0,335256,20241014,25.608,0.0007
01/23/2022,552400.0,552400.0,548500.0,551000.0,430620,20241014,25.643,-0.0007
01/24/2022,549050.0,552490.0,548610.0,550700.0,393926,20241014,25.669,-0.0005
01/25/2022,550750.0,556000.0,549180.0,556000.0,242107,20241014,25.209,0.0096
01/26/2022,557000.0,557000.0,549400.0,551620.0,71784,20241014,25.589,-0.0079
01/29/2022,552990.0,554000.0,551010.0,553400.0,271608,20241014,25.434,0.0032
01/30/2022,553400.0,553680.0,550030.0,552860.0,547944,20241014,25.481,-0.001
01/31/2022,553010.0,558000.0,551130.0,557900.0,549487,20241014,25.046,0.0091
02/01/2022,558780.0,558780.0,556030.0,557800.0,258775,20241014,25.054,-0.0002
02/02/2022,557990.0,559500.0,557620.0,559290.0,176319,20241014,24.927,0.0027
02/05/2022,559980.0,566000.0,559860.0,563010.0,412938,20241014,24.61,0.0067
02/06/2022,564000.0,568900.0,563680.0,565700.0,529919,20241014,24.383,0.0048
02/07/2022,567970.0,567970.0,563400.0,566480.0,544086,20241014,24.317,0.0014
02/08/2022,568770.0,568770.0,564010.0,567500.0,757218,20241014,24.231,0.0018
02/09/2022,567000.0,569010.0,567000.0,568640.0,310887,20241014,24.136,0.002
02/12/2022,568640.0,571600.0,568000.0,569790.0,373202,20241014,24.04,0.002
02/13/2022,571990.0,571990.0,564010.0,566010.0,1195383,20241014,24.357,-0.0066
02/14/2022,569990.0,569990.0,566740.0,568890.0,540815,20241014,24.115,0.0051
02/16/2022,568310.0,571500.0,565010.0,571500.0,577907,20241014,23.898,0.0046
02/19/2022,569350.0,571990.0,569350.0,571820.0,655405,20241014,23.871,0.0006
02/20/2022,570000.0,572000.0,569000.0,571100.0,487272,20241014,23.931,-0.0013
02/21/2022,569400.0,573200.0,569400.0,573200.0,743873,20241014,23.757,0.0037
02/22/2022,573200.0,574500.0,572370.0,573590.0,499882,20241014,23.725,0.0007
02/23/2022,574880.0,575400.0,572770.0,575000.0,390169,20241014,23.608,0.0025
02/26/2022,574530.0,577980.0,574210.0,576770.0,613947,20241014,23.463,0.0031
02/27/2022,578990.0,578990.0,575080.0,576300.0,169665,20241014,23.501,-0.0008
