date,open,high,low,close,volume,maturity,YTM,price change
09/29/2021,509001.0,555000.0,505212.0,509000.0,162787,20241202,27.889,
10/02/2021,504111.0,519987.0,504111.0,513987.0,249090,20241202,27.436,0.0098
10/03/2021,510430.0,511000.0,507564.0,508911.0,295819,20241202,27.897,-0.0099
10/04/2021,510726.0,514647.0,508320.0,508320.0,229868,20241202,27.952,-0.0012
10/06/2021,510000.0,514000.0,510000.0,514000.0,104943,20241202,27.435,0.0112
10/09/2021,525000.0,525000.0,510300.0,512999.0,122537,20241202,27.525,-0.0019
10/10/2021,510120.0,519800.0,503211.0,513500.0,143132,20241202,27.48,0.001
10/11/2021,514708.0,517000.0,514010.0,515570.0,39532,20241202,27.293,0.004
10/12/2021,515005.0,515500.0,515000.0,515000.0,122582,20241202,27.345,-0.0011
10/13/2021,514000.0,514000.0,510200.0,510200.0,16726,20241202,27.78,-0.0093
10/16/2021,510000.0,514000.0,506001.0,506001.0,146597,20241202,28.165,-0.0082
10/17/2021,509419.0,509419.0,503253.0,506000.0,137030,20241202,28.165,-0.0
10/18/2021,507000.0,508436.0,504113.0,505500.0,149044,20241202,28.211,-0.001
10/19/2021,502909.0,505000.0,502390.0,504000.0,13603,20241202,28.35,-0.003
10/20/2021,505990.0,505990.0,503300.0,505990.0,5571,20241202,28.166,0.0039
10/23/2021,503330.0,508962.0,503330.0,508950.0,234137,20241202,27.894,0.0058
10/25/2021,510000.0,514000.0,510000.0,514000.0,234845,20241202,27.435,0.0099
10/26/2021,511120.0,513999.0,511120.0,513999.0,381,20241202,27.435,-0.0
10/27/2021,514000.0,517000.0,514000.0,517000.0,26215,20241202,27.165,0.0058
10/30/2021,513555.0,520000.0,513555.0,520000.0,180517,20241202,26.897,0.0058
10/31/2021,519999.0,520000.0,515209.0,517600.0,280627,20241202,27.111,-0.0046
11/01/2021,517555.0,518000.0,517555.0,518000.0,89042,20241202,27.075,0.0008
11/02/2021,516000.0,518000.0,513110.0,514114.0,245810,20241202,27.424,-0.0075
11/03/2021,517500.0,517990.0,515007.0,515050.0,16167,20241202,27.34,0.0018
11/06/2021,517000.0,518000.0,516990.0,518000.0,146937,20241202,27.075,0.0057
11/07/2021,516001.0,517802.0,516000.0,517801.0,18709,20241202,27.093,-0.0004
11/08/2021,513200.0,519990.0,513000.0,519798.0,12667,20241202,26.915,0.0039
11/09/2021,515001.0,518000.0,515000.0,515001.0,147355,20241202,27.344,-0.0092
11/10/2021,515201.0,518001.0,515201.0,518000.0,61924,20241202,27.075,0.0058
11/13/2021,518000.0,518100.0,510203.0,510203.0,112588,20241202,27.779,-0.0151
11/14/2021,514996.0,515000.0,510204.0,512034.0,249777,20241202,27.613,0.0036
11/15/2021,511555.0,517000.0,511021.0,514610.0,190702,20241202,27.38,0.005
11/16/2021,514111.0,518500.0,513433.0,515004.0,41373,20241202,27.344,0.0008
11/17/2021,514400.0,514400.0,510485.0,510700.0,101220,20241202,27.734,-0.0084
11/20/2021,510000.0,512759.0,510000.0,512759.0,251006,20241202,27.547,0.004
11/21/2021,510960.0,511803.0,510334.0,511555.0,35284,20241202,27.656,-0.0023
11/22/2021,510555.0,511001.0,509556.0,510000.0,127325,20241202,27.798,-0.003
11/23/2021,510987.0,511000.0,506302.0,507300.0,39663,20241202,28.045,-0.0053
11/24/2021,507300.0,509999.0,506000.0,506000.0,61089,20241202,28.165,-0.0026
11/27/2021,506000.0,508000.0,502000.0,502500.0,147181,20241202,28.489,-0.0069
11/28/2021,501000.0,505000.0,500999.0,504001.0,97772,20241202,28.35,0.003
11/29/2021,501111.0,502050.0,501111.0,502050.0,42206,20241202,28.531,-0.0039
11/30/2021,501676.0,514999.0,500002.0,503007.0,125867,20241202,28.442,0.0019
12/01/2021,510000.0,517999.0,502854.0,504000.0,172174,20241202,28.35,0.002
12/04/2021,504556.0,504990.0,503112.0,504988.0,78307,20241202,28.259,0.002
12/05/2021,509996.0,509996.0,502812.0,504990.0,47358,20241202,28.258,0.0
